stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
rate1,612,22,2006-06-13,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-14,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-15,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-16,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-19,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-20,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-21,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-22,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-23,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-26,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-27,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-28,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-29,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,22,2006-06-30,46,1170,675578100,120,17749488,"BANKRATE, INC.",1.3187319126546,,,,,,,
rate1,612,23,2006-07-03,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-05,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-06,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-07,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-10,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-11,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-12,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-13,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-14,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-17,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-18,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-19,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-20,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-21,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-24,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-25,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-26,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-27,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-28,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-07-31,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-01,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-02,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-03,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-04,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-07,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-08,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-09,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-10,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-11,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-14,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-15,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-16,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-17,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-18,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-21,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-22,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-23,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-24,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-25,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-28,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-29,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-30,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-08-31,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-01,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-05,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-06,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-07,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-08,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-11,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-12,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-13,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-14,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-15,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-18,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-19,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-20,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-21,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-22,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-25,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-26,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-27,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-28,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,23,2006-09-29,4,1264,472138060,103,17772074,"BANKRATE, INC.",1.3044444444444,,,,,,,
rate1,612,24,2006-10-02,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-03,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-04,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-05,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-06,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-09,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
