stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
true,167680,71,2018-08-30,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,21.11,62745,3078843,21,21.085,21.47
true,167680,71,2018-08-31,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,21.34,82266,4432873,21,21.03,21.06
true,167680,71,2018-09-04,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,21.38,110103,4244271,21,21.01,21.2
true,167680,71,2018-09-05,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,20.49,133814,5824879,21,20.44,21.29
true,167680,71,2018-09-06,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.86,70544,7082092,20,19.85,20.41
true,167680,71,2018-09-07,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.48,40490,7013916,20,19.39,19.53
true,167680,71,2018-09-10,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.32,96369,3966330,19,19.2,19.58
true,167680,71,2018-09-11,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.2,89701,4802352,19,19.075,19.15
true,167680,71,2018-09-12,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.25,69684,9514767,19,18.31,19
true,167680,71,2018-09-13,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.51,95514,4249939,19,19.27,19.46
true,167680,71,2018-09-14,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.87,100448,5113995,19,19.54,19.64
true,167680,71,2018-09-17,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.06,82902,4667721,19,19.04,19.7
true,167680,71,2018-09-18,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19,32400,6147093,19,18.98,19.16
true,167680,71,2018-09-19,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.12,75711,8348041,19,18.91,18.91
true,167680,71,2018-09-20,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.5,61038,10327362,19,19.21,19.37
true,167680,71,2018-09-21,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.15,232818,6154916,19,19.085,19.38
true,167680,71,2018-09-24,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,19.1,90619,3558046,19,18.68,18.95
true,167680,71,2018-09-25,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,18.42,148773,6567055,18,18.24,18.74
true,167680,71,2018-09-26,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,18.42,81711,4124790,18,18.26,18.27
true,167680,71,2018-09-27,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,18.24,63947,5209322,18,18.18,18.5
true,167680,71,2018-09-28,11,1568,1417937634,105,100562962,"TRUECAR INC",0.070899517398906,,18.43,46600,5270960,18,18.06,18.16
true,167680,72,2018-10-01,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.41,93182,4191363,18,18.36,18.44
true,167680,72,2018-10-02,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.75,87310,5145064,18,18.3,18.33
true,167680,72,2018-10-03,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.46,64077,6517690,18,18.33,18.84
true,167680,72,2018-10-04,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.87,69745,7463142,18,17.61,18.28
true,167680,72,2018-10-05,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.54,52152,7725403,17,17.23,17.8
true,167680,72,2018-10-08,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.09,37397,7608271,17,16.825,17.31
true,167680,72,2018-10-09,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.85,60207,7780239,17,16.835,17.02
true,167680,72,2018-10-10,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.12,75537,9199620,16,16.1,16.61
true,167680,72,2018-10-11,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.36,114027,10997545,16,16.05,16.09
true,167680,72,2018-10-12,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.65,78542,6001758,16,16.4,16.82
true,167680,72,2018-10-15,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.51,51980,4471866,16,16.43,16.64
true,167680,72,2018-10-16,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.92,114423,4476013,17,16.536,16.54
true,167680,72,2018-10-17,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.77,135904,5572412,17,16.68,16.97
true,167680,72,2018-10-18,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16,25629,9862026,16,15.91,16.63
true,167680,72,2018-10-19,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,15.84,82068,5610905,16,15.66,16.09
true,167680,72,2018-10-22,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,15.89,115635,4351185,16,15.65,16
true,167680,72,2018-10-23,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.09,63111,8135402,16,15.19,15.41
true,167680,72,2018-10-24,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,14.75,72814,10385223,15,14.73,15.69
true,167680,72,2018-10-25,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,15.34,63980,6155234,15,14.97,14.97
true,167680,72,2018-10-26,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,14.62,92902,13803353,15,14.55,14.86
true,167680,72,2018-10-29,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,15.91,50283,18075834,16,15.6,16.15
true,167680,72,2018-10-30,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.87,66648,12549962,16,15.83,15.85
true,167680,72,2018-10-31,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17,136965,12191539,17,16.85,17.27
true,167680,72,2018-11-01,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.4,159549,14415001,18,16.95,17.06
true,167680,72,2018-11-02,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.11,100524,9309954,18,17.71,18.65
true,167680,72,2018-11-05,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.72,52326,6646217,18,17.47,17.98
true,167680,72,2018-11-06,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.91,362088,5517535,18,17.7,17.74
true,167680,72,2018-11-07,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.38,790324,7480851,18,18,18.17
true,167680,72,2018-11-08,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.4,411179,5807116,18,18.11,18.12
true,167680,72,2018-11-09,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.88,94299,6048994,18,17.695,18.1
true,167680,72,2018-11-12,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.83,77185,8652065,17,16.755,17.5
true,167680,72,2018-11-13,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.35,117974,7259867,17,16.9,16.91
true,167680,72,2018-11-14,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.48,79958,6922345,17,17.29,17.47
true,167680,72,2018-11-15,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.4,103431,8346729,18,17.267,17.36
true,167680,72,2018-11-16,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.79,50559,7776264,18,17.82,17.92
true,167680,72,2018-11-19,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.61,66046,7854888,18,17.58,18.69
true,167680,72,2018-11-20,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.02,25960,6380184,18,17.05,17.12
true,167680,72,2018-11-21,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.58,33251,5675802,18,18.25,18.45
true,167680,72,2018-11-23,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.67,17700,2450926,18,18.33,18.33
true,167680,72,2018-11-26,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.81,37083,6085288,19,18.67,19.21
true,167680,72,2018-11-27,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.33,36675,4884388,18,18.1,18.47
true,167680,72,2018-11-28,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.87,28350,8743895,18,18.17,18.54
